InChI	Enthalpy_of_vaporization
InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H	121.5
InChI=1S/C2Cl4F2/c3-1(4,5)2(6,7)8	152.973
InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2	213.539
InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2	217
InChI=1S/C3Cl3F5/c4-2(5,6)1(7,8)3(9,10)11	123.919
InChI=1S/C2H2Cl3F/c3-2(4,5)1-6/h1H2	211.87
InChI=1S/C2Cl3F3/c3-1(4,5)2(6,7)8	145.295
InChI=1S/C2Cl4F2/c3-1(4,7)2(5,6)8	154.9
InChI=1S/C2HCl4F/c3-1(4)2(5,6)7/h1H	182.762
InChI=1S/C2HCl3F2/c3-1(6)2(4,5)7/h1H	176.694
InChI=1S/C2H2Cl3F/c3-1-2(4,5)6/h1H2	207.719
InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8	144.3
InChI=1S/C2HCl2F3/c3-2(4,7)1(5)6/h1H	163.659
InChI=1S/C2Cl2F2/c3-1(4)2(5)6	183.088
InChI=1S/C2Cl2F4/c3-1(4,5)2(6,7)8	133.618
InChI=1S/C2Br2F4/c3-1(5,6)2(4,7)8	104.7
InChI=1S/C2HCl2F3/c3-1(5)2(4,6)7/h1H	169.431
InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3	223.681
InChI=1S/C3H3F5/c4-1-3(7,8)2(5)6/h2H,1H2	201
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H	229.314
InChI=1S/C3H4F4/c1-3(6,7)2(4)5/h2H,1H3	214.4
InChI=1S/C2H2Cl3F/c3-1(4)2(5)6/h1-2H	199.987
InChI=1S/C2H2Cl2F2/c3-1(4)2(5)6/h1-2H	211.064
InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3	291.53
InChI=1S/C2H2F2/c1-2(3)4/h1H2	255
InChI=1S/C3HCl2F5/c4-1(2(5,6)7)3(8,9)10/h1H	127.7
InChI=1S/C2H3Cl2F/c3-1-2(4)5/h2H,1H2	255.682
InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8	135.9
InChI=1S/C2H4F2/c3-1-2-4/h1-2H2	396.291
InChI=1S/C2HClF4/c3-2(6,7)1(4)5/h1H	161.174
InChI=1S/C3HClF6/c4-2(6,7)1(5)3(8,9)10/h1H	140.9
InChI=1S/C2H2ClF3/c3-2(5,6)1-4/h1H2	193.57
InChI=1S/C2H3ClF2/c1-2(3,4)5/h1H3	223.453
InChI=1S/C2H2ClF3/c3-1(4)2(5)6/h1-2H	196.16
InChI=1S/C2H3ClF2/c3-2(5)1-4/h2H,1H2	237.99
InChI=1S/C2H4ClF/c1-2(3)4/h2H,1H3	295.504
InChI=1S/C2HCl2F3/c3-1(4)2(5,6)7/h1H	170.2
InChI=1S/C2HClF4/c3-1(4)2(5,6)7/h1H	165.8
InChI=1S/C3H4ClF3/c4-2-1-3(5,6)7/h1-2H2	201.758
InChI=1S/CBrF3/c2-1(3,4)5	118.8
InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3	385.8
InChI=1S/CCl4/c2-1(3,4)5	192.6
InChI=1S/CHClF2/c2-1(3)4/h1H	233.8
